timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-03-17T20:53:33,GIATHEIA_1,9a32554f-529b-4974-a67e-33d504845c94,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0286681810000004,7.451125245342596e-08,2.599092438178228e-06,42.5,0.0,4.7530388832092285,1.9501472083334203e-07,0.0,1.834627723021328e-08,2.133609980635553e-07,United States,USA,nevada,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.8.3,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.67477035522461,machine,N,1.0
2025-03-17T20:54:40,GIATHEIA_2,9a32554f-529b-4974-a67e-33d504845c94,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,67.404594952,0.0004894487123769,7.261355293738109e-06,42.5,27.626141172599045,4.7530388832092285,0.0007955492611034,0.000517008191384,8.896597297029556e-05,0.0014015234254577,United States,USA,nevada,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.8.3,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.67477035522461,machine,N,1.0
2025-03-17T20:55:00,GIATHEIA_3,9a32554f-529b-4974-a67e-33d504845c94,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,86.50793314200001,0.0006294616136973557,7.2763455423690975e-06,42.5,28.32848098390621,4.7530388832092285,0.0010209900143847224,0.0006672816449359999,0.00011417500100230867,0.0018024466603230311,United States,USA,nevada,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.8.3,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.67477035522461,machine,N,1.0
